commit_id,msg
e9d98fc0b6cb9931e0fb85b21030702a27de22b9,update language adaptors to rx.* package
c11126d5484e36df5738719090a87d793e0dfc41,"Merge pull request #6 from benjchristensen/refactoring

Refactoring"
984cb1bbd8556d014eb325381ada8a2af4a13455,Update README.md
e893ad2c837e06f459e5a8f554c2aabc7d42259d,Adding code for scala adaptor (initial implementation)
d2b7f1e9371013f859fda1c6e0f3221b705c5629,Refactoring name-space to remove 'org'
aba4cbbe9d00da920deb191da719541a013e7282,"Merge pull request #27 from jcacciatore/scala-adaptor

Scala adaptor"
e5d9d9c26cee43b2a435f0ecddf8f0c676fa80a5,"Performance optimizations for dynamic function execution.

- memoize dynamic function constructions so executions are statically typed after a single dynamic lookup instead of dynamic on every execution"
48cd6ccfbaab366bf082726d32f24dac2b4a8f91,"Merge pull request #106 from benjchristensen/function-memoization

Performance optimizations for dynamic function execution.

https://github.com/Netflix/RxJava/issues/104"
787d8fc0215c5bab541f61c2d69a91753d462559,"Refactoring towards performance improvements

- Convert operators to implement Func1 instead of extend Observable
- Change Observable to concete instead of abstract
- subscribe is now controlled by the concrete class so we can control the wrapping of a Func to be executed when subscribe is called
- removed most wrapping inside operators with AtomicObservable except for complex operators like Zip that appear to still need it

While doing these changes the util/function packages got moved a little as well to make more sense for where the Atomic* classes should go"
9eb049791037ecb65da18b562ff57804fbd6e942,"Performance refactoring: OperatorSubscribeFunction

- migrated Func1 to OperatorSubscribeFunction for internal operator implementations
- do not wrap with AtomicObserver when it's a trusted operator

https://github.com/Netflix/RxJava/issues/104"
6e0a15499b5bc6612419f771ca9a78bf52a041fb,"Format code, delete test classes"
fa1af64cd44b1df370e39394a479e3c33335fc6c,"Merge pull request #107 from benjchristensen/performance

Performance: Reduce synchronization"
d58d3b3ca405a5bd151f3958893715971d28a89e,Creating toObservable for Future
967337e24e594c9a0fc19436b993ce549c93d288,"Adding a draft of Subject class
https://github.com/Netflix/RxJava/issues/19"
c7f554f26d4ce3439299d772b7d3ea91071decb5,removing the dependency on groovy
c52f7cbe11c99fb4b1cdb02c8c1fb970307aa964,upgrade from Gradle 1.1 to 1.3 to support needed Scala features
1553a22f4c53c8791fcf25bc6c6b178c43cf75b6,"make scala build fork so it gets its own JVM args

The permgen needs to be increased for scala."
0b96a8d66fae8e8c1b499a6469d57fc275a56964,fixing compile issues after core refactoring
88b722b238353fbb705e71f84f458fb1511a27d0,"Merge pull request #110 from benjchristensen/build-fix

Build fix"
19760e798043c1f867fd414578ffefde3564150d,"IDE support

Importing into Eclipse Juno with the Gradle plugin now gets everything setup, compiling and running correctly."
72b3c66c95c3da1b2b3b364d966a962576fb8cb8,ignore Scala .cache folder
a2a215e413d04c5b8f5ed1abfd164658d84388b0,"Merge pull request #111 from benjchristensen/dev

IDE Support"
377e5bd915e80ec8c664fb4f64c92a7b7a8448e5,"Change NullObservableSubscription to NoOpObservableSubscription

Gives stacktraces that make more sense as ""null"" has nothing to do with it."
b61b7607e0f2b00a0d36672a95999f1fb081dbf1,Start of examples with clojure and groovy
e0ef8e6824cdffb0007ac312d81767f061828d21,"Merge pull request #112 from benjchristensen/examples

Examples Submodule"
24c067384ef3ab583e86c26dbae472601633fbc3,adding support for also get time outs.
a1f6e0bdf7e8a352ea1d3712623c52e5c81adf81,Add the new Operation Concat
031af80c334410a4566bf38eab8ce0c384f818e3,Update example with two observables.
c15dc5c60aca057db17aec50c71cfa6f0be899b2,factory method createSubscription from Action0
619228cd2a8656f7fef021a4f364011b7ef6a564,"example code as part of ""How to Use"""
1726efeb346e5635a473b7ddf8e3aadcb8a4c5f3,"builds for each language and examples

Use 'provided' not 'compile' for language dependencies so we don't force specific versions."
b764ef1b1d76e8ecc9d7a826ee57023ea91c6327,"Merge pull request #114 from benjchristensen/examples

Examples"
b276ae100fd03b240b46d00f7c17ea4ee1dcefba,Merge commit 'b764ef1b1d76e8ecc9d7a826ee57023ea91c6327' into future
38ad57c1e90f982a2715c350ce3994c4f4d5c0e7,adding more details about how the toObservable behaves.
451ba0323bad83c8ffdbaf555de20a438e393ad5,Add overloaded methods and unit tests for list<observable<T>> and Observable<Observable<T>>.
ca75023748036f3f5d7684e785b62d00463935a1,"Merge pull request #109 from abersnaze/future

Creating toObservable for Future"
377effd9ef984225df94d7f78877e7584bbd9264,"Merge pull request #108 from abersnaze/subject

Adding a draft of Subject class"
b29a96a3e54cef5acc40eaf16dd561e945c9c380,Update the javadoc
71dd1b3694d2d54fd945539acd82e89c1222e466,Update comment in Observable for concat.
778b3e79bc65eca49801616f39ea2142d93982c9,"Merge pull request #113 from billyy/concat

Concat"
d68f1b132e5688bfeeed4bb656a0b52aa300dc89,more examples
5b6138d1054221e1000090d84a1b6c20bf0aa4e5,"Merge pull request #115 from benjchristensen/examples

more examples"
5d6346e0299eefeac6b55d371a2ffb4b550203e8,"synchronization and contract refactoring

No longer will synchronization ever be added automatically. If synchronization is needed then the synchronize() operator should be used.
The AtomicObserver is added to Observables (but not internally trusted ones) to ensure compliance with the Rx contract and auto-unsubscribe. This should generally mean just 1 wrapper at the top of a sequence chain.
These changes are based on a discussion with Erik about how Rx 2.0 works in .Net."
e6d30871dd89bdfb7ab60dd115beb29b07283390,clean example so it shuts down correctly
ca9d4822dd50704f78978813da2408de0de67d2e,performance test classes
a1a146930b3c5e63672a7134ca726d22c992ce52,removing .observables package so main classes are just rx.*
e38ca1d2bc79543fb78a7ecb1ecafff5a3129452,fix warning
3396f5ae19557d77fe558cd10482c41961516cea,make Observable constructor arg optional so unit tests can just override subscribe for simpler code
868ca9a344fc6b444ebcbecb36595fbde074a912,fix package names for imports
2da97a25a1c8d8977de81b7a80e055ba04f22b86,"Merge pull request #116 from benjchristensen/refactor

Refactor"
10fe96474a6ab4ec62c7cab50fb376a173bda78e,Create README.md
963126004dab42be08e5582c0149d59a43f7d56c,Update README.md
911e499162df48f675ee4a670d8cd6848ac9f683,Update README.md
64a25ca1772cda8b4810ddec67d5ce201672bf46,Update README.md
00aea9833ca1476253e6a510c33d1e9004680709,Update README.md
473c91d3864e1c1cdedf4bb7913e9d2b79313bc9,Update README.md
0638d6ed4091c71e5a4928db579d45903fd58d3d,dependency management
3a410c3dd186a348f992702a2e66525ea72d6306,Update README.md
61e3e66a9b9ac7da7727d6edf39f53e69ffac401,updating jruby and scala builds
705e417d21f1109c903af77c764ff6892f21c4e7,Update README.md
f8af5b0957ca18c1b6cf6a990ba4b42f497e0857,Update README.md
6f11c7bb1b1a1e8feca82e4f6dfdd0fa948f50f7,Update README.md
90f238a73a1993a686a1bab1bc806b9e302b62ae,Create README.md
6969a4ec220283f28585ae9644d4ffd8c3141c62,Create CONTRIBUTING.md
575cd3dcab330ce6f8273f0439e8edf7b4f4ce4b,Update gradle.properties
35f40bd1f451013d4a08cd7e87a5627f44cd7ac0,Update gradle.properties
0dace38ae6587fe6bc4ad0da38297ca8a1b4f2d9,Update gradle.properties
d62238b1375e986c53c9d2050e87d0dd00cbe545,Update gradle.properties
